Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR20309392	GSM6351396: BoGa t0, rep2; Marchantia polymorpha; RNA-Seq	Illumina NovaSeq 6000	120941	1690300800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR203/SRR20309392/SRR20309392.sra	SRR20309392.sra	SRR20309392_GSM6351396_BoGa_t0_rep2_Marchantia_polymorpha_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/092/SRR20309392/SRR20309392_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR203/092/SRR20309392/SRR20309392_1.fastq.gz	SRR20309392_1.fastq.gz	SRR20309392_GSM6351396_BoGa_t0_rep2_Marchantia_polymorpha_RNA-Seq_1.fastq.gz
SRR20309392	GSM6351396: BoGa t0, rep2; Marchantia polymorpha; RNA-Seq	Illumina NovaSeq 6000	120941	1690300800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR203/SRR20309392/SRR20309392.sra	SRR20309392.sra	SRR20309392_GSM6351396_BoGa_t0_rep2_Marchantia_polymorpha_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/092/SRR20309392/SRR20309392_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR203/092/SRR20309392/SRR20309392_2.fastq.gz	SRR20309392_2.fastq.gz	SRR20309392_GSM6351396_BoGa_t0_rep2_Marchantia_polymorpha_RNA-Seq_2.fastq.gz
SRR20309380	GSM6351408: BoGa t6LL, rep2; Marchantia polymorpha; RNA-Seq	Illumina NovaSeq 6000	99894	1690300800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR203/SRR20309380/SRR20309380.sra	SRR20309380.sra	SRR20309380_GSM6351408_BoGa_t6LL_rep2_Marchantia_polymorpha_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/080/SRR20309380/SRR20309380_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR203/080/SRR20309380/SRR20309380_1.fastq.gz	SRR20309380_1.fastq.gz	SRR20309380_GSM6351408_BoGa_t6LL_rep2_Marchantia_polymorpha_RNA-Seq_1.fastq.gz
SRR20309380	GSM6351408: BoGa t6LL, rep2; Marchantia polymorpha; RNA-Seq	Illumina NovaSeq 6000	99894	1690300800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR203/SRR20309380/SRR20309380.sra	SRR20309380.sra	SRR20309380_GSM6351408_BoGa_t6LL_rep2_Marchantia_polymorpha_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/080/SRR20309380/SRR20309380_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR203/080/SRR20309380/SRR20309380_2.fastq.gz	SRR20309380_2.fastq.gz	SRR20309380_GSM6351408_BoGa_t6LL_rep2_Marchantia_polymorpha_RNA-Seq_2.fastq.gz
SRR20309381	GSM6351407: BoGa t6LL, rep1; Marchantia polymorpha; RNA-Seq	Illumina NovaSeq 6000	114113	1690300800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR203/SRR20309381/SRR20309381.sra	SRR20309381.sra	SRR20309381_GSM6351407_BoGa_t6LL_rep1_Marchantia_polymorpha_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/081/SRR20309381/SRR20309381_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR203/081/SRR20309381/SRR20309381_1.fastq.gz	SRR20309381_1.fastq.gz	SRR20309381_GSM6351407_BoGa_t6LL_rep1_Marchantia_polymorpha_RNA-Seq_1.fastq.gz
SRR20309381	GSM6351407: BoGa t6LL, rep1; Marchantia polymorpha; RNA-Seq	Illumina NovaSeq 6000	114113	1690300800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR203/SRR20309381/SRR20309381.sra	SRR20309381.sra	SRR20309381_GSM6351407_BoGa_t6LL_rep1_Marchantia_polymorpha_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/081/SRR20309381/SRR20309381_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR203/081/SRR20309381/SRR20309381_2.fastq.gz	SRR20309381_2.fastq.gz	SRR20309381_GSM6351407_BoGa_t6LL_rep1_Marchantia_polymorpha_RNA-Seq_2.fastq.gz
SRR20309393	GSM6351395: BoGa t0, rep1; Marchantia polymorpha; RNA-Seq	Illumina NovaSeq 6000	132955	1690300800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR203/SRR20309393/SRR20309393.sra	SRR20309393.sra	SRR20309393_GSM6351395_BoGa_t0_rep1_Marchantia_polymorpha_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/093/SRR20309393/SRR20309393_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR203/093/SRR20309393/SRR20309393_1.fastq.gz	SRR20309393_1.fastq.gz	SRR20309393_GSM6351395_BoGa_t0_rep1_Marchantia_polymorpha_RNA-Seq_1.fastq.gz
SRR20309393	GSM6351395: BoGa t0, rep1; Marchantia polymorpha; RNA-Seq	Illumina NovaSeq 6000	132955	1690300800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR203/SRR20309393/SRR20309393.sra	SRR20309393.sra	SRR20309393_GSM6351395_BoGa_t0_rep1_Marchantia_polymorpha_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/093/SRR20309393/SRR20309393_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR203/093/SRR20309393/SRR20309393_2.fastq.gz	SRR20309393_2.fastq.gz	SRR20309393_GSM6351395_BoGa_t0_rep1_Marchantia_polymorpha_RNA-Seq_2.fastq.gz
SRR20309379	GSM6351409: BoGa t6LL, rep3; Marchantia polymorpha; RNA-Seq	Illumina NovaSeq 6000	99045	1690300800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR203/SRR20309379/SRR20309379.sra	SRR20309379.sra	SRR20309379_GSM6351409_BoGa_t6LL_rep3_Marchantia_polymorpha_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/079/SRR20309379/SRR20309379_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR203/079/SRR20309379/SRR20309379_1.fastq.gz	SRR20309379_1.fastq.gz	SRR20309379_GSM6351409_BoGa_t6LL_rep3_Marchantia_polymorpha_RNA-Seq_1.fastq.gz
SRR20309379	GSM6351409: BoGa t6LL, rep3; Marchantia polymorpha; RNA-Seq	Illumina NovaSeq 6000	99045	1690300800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR203/SRR20309379/SRR20309379.sra	SRR20309379.sra	SRR20309379_GSM6351409_BoGa_t6LL_rep3_Marchantia_polymorpha_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/079/SRR20309379/SRR20309379_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR203/079/SRR20309379/SRR20309379_2.fastq.gz	SRR20309379_2.fastq.gz	SRR20309379_GSM6351409_BoGa_t6LL_rep3_Marchantia_polymorpha_RNA-Seq_2.fastq.gz
